run_id,algorithm,measure,cluster_count,a2a_to_acdc,cvg_to_acdc,output_rsf
52,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_494,68.23104693,0.04048583,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_494_clusters.rsf
53,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_50,84.30782459,0.08,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_50_clusters.rsf
54,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_55,84.72758473,0.072727273,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_55_clusters.rsf
55,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_60,85.01712329,0.066666667,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_60_clusters.rsf
56,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_75,85.62313909,0.066666667,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_75_clusters.rsf
57,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_94,86.16033755,0.085106383,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_94_clusters.rsf
58,WCA_vs_LIMBO,UEMNM_vs_UEMNM,100_vs_50,77.85898538,0.98,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_LIMBO_UEMNM_50_clusters.rsf
59,WCA_vs_LIMBO,UEMNM_vs_UEM,100_vs_50,77.85898538,0.98,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_LIMBO_UEM_50_clusters.rsf
60,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_100,86.63034367,0.13,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_100_clusters.rsf
61,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_144,86.17283951,0.145833333,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_144_clusters.rsf
62,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_150,86.00164204,0.186666667,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_150_clusters.rsf
63,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_194,82.90322581,0.144329897,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_194_clusters.rsf
64,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_20,79.0980052,0.2,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_20_clusters.rsf
65,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_244,79.96047431,0.102459016,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_244_clusters.rsf
